action,diff_key,name,num_frames,description,query_string
ballsports_0,0,more knee bend,1,the shooter's knees are more bent before taking the shot,knees are more bent
ballsports_0,1,wider feet stance,1,the shooter's feet stance is wider when starting the shooting motion,wider feet stance
ballsports_0,2,feet stance more staggered,1,"the shooter's feet position are more staggered, meaning the feet are at a different distance from the basket",feet are more staggered
ballsports_0,3,feet stance square to basket,1,"the shooter's feet are oriented more square to the basket when starting the shooting motion, meaning the feet point more forward",feet are square to the basket
ballsports_0,4,ball position more forward,1,"as the shooter begins extending the elbow to shoot, the ball is more in front of the body, rather than behind the head",ball more in front of the body
ballsports_0,5,guide hand stability,gt_1,"as the shooter begins extending the elbow to shoot, the non-shooting hand (the guide hand) is on the side of the ball and does not influence the balls trajectory",non-shooting hand on side of the ball
ballsports_0,6,jump more vertical than forward,gt_1,the shooter's jump is more vertical than forward,jump is more vertical than forward
ballsports_0,7,More follow through,gt_1,the shooter's arm is more extended towards the basket,arms are more extended towards the basket
ballsports_1,0,two foot jump shot 1,1,they jump with two feet on the 1st shot,two foot jump
ballsports_1,1,jump off right foot shot 2,1,they jump off the right foot for right-hand shot (the 2nd shot),jump off right foot
ballsports_1,10,catch ball high 1,1,they catch the ball in a higher position on the 1st shot,catch the ball higher
ballsports_1,11,jump more forward shot 1,gt_1,"the body moves more forward during the 1st shot, rather than up or back",the body moves more forward during the shot
ballsports_1,12,jump more forward shot 2,gt_1,"the body moves more forward during the 2nd shot, rather than up or back",the body moves more forward during the shot
ballsports_1,13,better balanced landing shot 1,gt_1,they have better balance when landing on the 1st shot,better balance when landing
ballsports_1,14,better balanced landing shot 2,gt_1,they have better balance when landing on the 2nd shot,better balance when landing
ballsports_1,15,more fluid motion,gt_1,they have more fluid motion in moving between the shots,more fluid motion
ballsports_1,2,non-jumping knee more elevated shot 1,1,the non-jumping leg has a more elevated knee in the 1st shot,non-jumping leg more elevated
ballsports_1,3,non-jumping knee more elevated shot 2,1,the non-jumping leg has a more elevated knee in the 2nd shot,non-jumping leg more elevated
ballsports_1,4,fully extended arm shot 1,gt_1,the arm is more fully extended towards the basket in the follow through in the 1st shot,the arm is more fully extended towards the basket in the follow through\
ballsports_1,5,fully extended arm shot 2,gt_1,the arm is more fully extended towards the basket in the follow through in the 2nd shot,the arm is more fully extended towards the basket in the follow through\
ballsports_1,6,non-shooting hand is stabalizing the ball 1,1,uses the non-shooting hand (the guide hand) for stabilizing the ball during the shot in the 1st shot,uses the non-shooting hand (the guide hand) for stabilizing the ball during the shot
ballsports_1,7,non-shooting hand is stabalizing the ball 2,1,uses the non-shooting hand (the guide hand) for stabilizing the ball during the shot in the 2nd shot,uses the non-shooting hand (the guide hand) for stabilizing the ball during the shot
ballsports_1,8,higher vertical shot 1,1,they jump higher on the first shot,jumps higher
ballsports_1,9,higher vertical shot 2,1,they jump higher on the second shot,jumps higher
ballsports_2,0,eyes more up on the 2nd last step,1,the gaze is more up and forward instead of down on the 2nd last step,the gaze is more up and forward instead of down
ballsports_2,1,hip side ball setup,gt_1,"before raising the ball to shoot, the ball is more to the right side of the hip",the ball is more to the right side of the hip
ballsports_2,10,two foot landing,1,they land on two feet,they land on two feet
ballsports_2,2,two handed gather,gt_1,they gather the ball with both hands,they gather the ball with both hands
ballsports_2,3,deeper knee bend on the jump,1,they get deeper knee bend before jumping,deepr knee bend
ballsports_2,4,use of guide hand,1,they use the non-shooting hand (the guide hand) for stabilizing the ball during the shot,they use the non-shooting hand (the guide hand)
ballsports_2,5,eyes more on the rim during shooting motion,gt_1,"during the shooting motion, the eye gaze is towards the rim",the eye gaze is towards the rim
ballsports_2,6,higher release,1,they release the ball at a higher position,the arm is extended out in a higher position
ballsports_2,7,more follow through towards the basket,gt_1,they follow through more and towards the basket,more follow through to the basket
ballsports_2,8,more elevated non-shooting knee,1,the non-jumping leg has a more elevated knee,the non-jumping leg has a more elevated knee
ballsports_2,9,better targets backboard square,1,the ball is closer to the corner of the square on the backboard,the ball is closer to the corner of the square on the backboard
ballsports_3,0,body orientation more square to the net,1,"the body (or torso) is more facing the net, or more 'square' to the net","the body (or torso) is more facing the net, or more 'square' to the net"
ballsports_3,1,non-kicking foot next to the the ball,1,the non-kicking foot is planted more next to the ball and less behind the ball,"the non-kicking foot is planted more forward, next to the ball and not behind the ball"
ballsports_3,2,non-kicking foot closer to the ball,1,the non-kicking foot is planted closer to the ball,the non-kicking foot is planted closer to the ball
ballsports_3,3,head focused on ball during strike,gt_1,the head is facing the ball leading up to the strike,the head is facing the ball leading up to the strike
ballsports_3,4,harder kick,gt_1,they kick the ball harder,they kick the ball harder
ballsports_3,5,more hip rotation,gt_1,they rotate their hips more during the strike,they rotate their hips more during the strike
diving_0,0,Entry Angle,1,Diver enters the water at an angle closer to 90 degrees,more perpendicular to water
diving_0,1,Splash Size,1,The size and volume of the splash created upon entry is larger,larger splash
