action,diff_key,description,query_string
ballsports_0,0,the shooter's knees are more bent before taking the shot,knees are more bent
ballsports_0,1,the shooter's feet stance is wider when starting the shooting motion,wider feet stance
ballsports_0,2,"the shooter's feet position are more staggered, meaning the feet are at a different distance from the basket",feet are more staggered
ballsports_0,3,"the shooter's feet are oriented more square to the basket when starting the shooting motion, meaning the feet point more forward",feet are square to the basket
ballsports_0,4,"as the shooter begins extending the elbow to shoot, the ball is more in front of the body, rather than behind the head",ball more in front of the body
ballsports_0,5,"as the shooter begins extending the elbow to shoot, the non-shooting hand (the guide hand) is on the side of the ball and does not influence the balls trajectory",non-shooting hand on side of the ball
ballsports_0,6,the shooter's jump is more vertical than forward,jump is more vertical than forward
ballsports_0,7,the shooter's arm is more extended towards the basket,arms are more extended towards the basket
ballsports_1,0,they jump with two feet on the 1st shot,two foot jump
ballsports_1,1,they jump off the right foot for right-hand shot (the 2nd shot),jump off right foot
ballsports_1,10,they catch the ball in a higher position on the 1st shot,catch the ball higher
ballsports_1,11,"the body moves more forward during the 1st shot, rather than up or back",the body moves more forward during the shot
ballsports_1,12,"the body moves more forward during the 2nd shot, rather than up or back",the body moves more forward during the shot
ballsports_1,13,they have better balance when landing on the 1st shot,better balance when landing
ballsports_1,14,they have better balance when landing on the 2nd shot,better balance when landing
ballsports_1,15,they have more fluid motion in moving between the shots,more fluid motion
ballsports_1,2,the non-jumping leg has a more elevated knee in the 1st shot,non-jumping leg more elevated
ballsports_1,3,the non-jumping leg has a more elevated knee in the 2nd shot,non-jumping leg more elevated
ballsports_1,4,the arm is more fully extended towards the basket in the follow through in the 1st shot,the arm is more fully extended towards the basket in the follow through\
ballsports_1,5,the arm is more fully extended towards the basket in the follow through in the 2nd shot,the arm is more fully extended towards the basket in the follow through\
ballsports_1,6,uses the non-shooting hand (the guide hand) for stabilizing the ball during the shot in the 1st shot,uses the non-shooting hand (the guide hand) for stabilizing the ball during the shot
ballsports_1,7,uses the non-shooting hand (the guide hand) for stabilizing the ball during the shot in the 2nd shot,uses the non-shooting hand (the guide hand) for stabilizing the ball during the shot
ballsports_1,8,they jump higher on the first shot,jumps higher
ballsports_1,9,they jump higher on the second shot,jumps higher
ballsports_2,0,the gaze is more up and forward instead of down on the 2nd last step,the gaze is more up and forward instead of down
ballsports_2,1,"before raising the ball to shoot, the ball is more to the right side of the hip",the ball is more to the right side of the hip
ballsports_2,10,they land on two feet,they land on two feet
ballsports_2,2,they gather the ball with both hands,they gather the ball with both hands
ballsports_2,3,they get deeper knee bend before jumping,deepr knee bend
ballsports_2,4,they use the non-shooting hand (the guide hand) for stabilizing the ball during the shot,they use the non-shooting hand (the guide hand)
ballsports_2,5,"during the shooting motion, the eye gaze is towards the rim",the eye gaze is towards the rim
ballsports_2,6,they release the ball at a higher position,the arm is extended out in a higher position
ballsports_2,7,they follow through more and towards the basket,more follow through to the basket
ballsports_2,8,the non-jumping leg has a more elevated knee,the non-jumping leg has a more elevated knee
ballsports_2,9,the ball is closer to the corner of the square on the backboard,the ball is closer to the corner of the square on the backboard
ballsports_3,0,"the body (or torso) is more facing the net, or more 'square' to the net","the body (or torso) is more facing the net, or more 'square' to the net"
ballsports_3,1,the non-kicking foot is planted more next to the ball and less behind the ball,"the non-kicking foot is planted more forward, next to the ball and not behind the ball"
ballsports_3,2,the non-kicking foot is planted closer to the ball,the non-kicking foot is planted closer to the ball
ballsports_3,3,the head is facing the ball leading up to the strike,the head is facing the ball leading up to the strike
ballsports_3,4,they kick the ball harder,they kick the ball harder
ballsports_3,5,they rotate their hips more during the strike,they rotate their hips more during the strike
diving_0,0,Diver enters the water at an angle closer to 90 degrees in video A than in video B.,more perpendicular to water
diving_0,1,The size and volume of the splash created upon entry is larger for video A than video B.,larger splash
diving_0,2,Duration from jump off the board to water entry in longer in video A than in video B.,longer time in the air
diving_0,3,Speed at which divers rotate during the dive in larger in video A than in video B.,faster rotation
diving_0,4,Diver faces the water at jump off.,water facing
diving_0,5,Diver rotates forward relative to themselves.,forward rotation
diving_0,6,Diver's body is more straight in video A than in video B.,straighter body
fitness_0,0,the feet stance is wider,the feet stance is wider
fitness_0,1,the toes are more pointed out,the toes are more pointed out
fitness_0,2,the speed of hip rotation is faster,the speed of hip rotation is faster
fitness_0,3,the range of motion in the hips is larger,the range of motion in the hips is larger
fitness_0,4,the head remains more vertical during the rotation,the head remains more vertical during the rotation
fitness_0,5,the hand position is higher on the body,the hand position is higher on the body
fitness_0,6,The upper body rocks more in a forward-backward way,The upper body rocks more in a forward-backward way
fitness_1,0,the arms reach higher on the first step,arms at a higher angle
fitness_1,1,the arms reach higher on the second step,arms at a higher angle
fitness_1,10,the torso moves out further closer to the foot during the second step out,the torso moves out further closer to the foot
fitness_1,2,the arms are elevated in an uneven way on the first step,the arms are elevated in a more uneven way
fitness_1,3,the arms are elevated in an uneven way on the second step,the arms are elevated in a more uneven way
fitness_1,4,the first step out is wider,foot stance is wider
fitness_1,5,the second step out is wider,foot stance is wider
fitness_1,6,the toes are more pointed outwards on the first step out,the toes are more pointed outwards
fitness_1,7,the toes are more pointed outwards on the second step out,the toes are more pointed outwards
fitness_1,8,the motion is faster,the motion is faster
fitness_1,9,the torso moves out further closer to the foot during the first step out,the torso moves out further closer to the foot
fitness_2,0,the feet stance is wider,the feet stance is wider
fitness_2,1,the toes are more pointed out,the toes are more pointed out
fitness_2,2,the gaze is forward at the start of the motion,the gaze is forward at the start of the motion
